2021-08-31 15:52:25,903 INFO: {'Rotation': 0.0000, 'Motors': ('PWR','PWR','PWR','PWR'), 'Status': 'No Data Recieved.'}
2021-08-31 15:53:41,323 INFO: {'Rotation': -182.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:41,396 INFO: {'Rotation': -180.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:41,448 INFO: {'Rotation': -178.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:41,514 INFO: {'Rotation': -176.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:41,582 INFO: {'Rotation': -174.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:41,649 INFO: {'Rotation': -172.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:41,717 INFO: {'Rotation': -170.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:41,768 INFO: {'Rotation': -168.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:41,836 INFO: {'Rotation': -166.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:41,890 INFO: {'Rotation': -164.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:41,955 INFO: {'Rotation': -162.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:42,008 INFO: {'Rotation': -160.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:42,073 INFO: {'Rotation': -158.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:42,140 INFO: {'Rotation': -156.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:42,192 INFO: {'Rotation': -154.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:42,261 INFO: {'Rotation': -152.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:42,313 INFO: {'Rotation': -150.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:42,381 INFO: {'Rotation': -148.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:42,448 INFO: {'Rotation': -146.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:42,500 INFO: {'Rotation': -144.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:42,567 INFO: {'Rotation': -142.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:42,634 INFO: {'Rotation': -140.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:42,686 INFO: {'Rotation': -138.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:42,754 INFO: {'Rotation': -136.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:42,820 INFO: {'Rotation': -134.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:42,886 INFO: {'Rotation': -132.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:42,938 INFO: {'Rotation': -130.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:43,004 INFO: {'Rotation': -128.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:43,055 INFO: {'Rotation': -126.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:43,122 INFO: {'Rotation': -124.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:43,189 INFO: {'Rotation': -122.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:43,254 INFO: {'Rotation': -120.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:43,322 INFO: {'Rotation': -118.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:43,373 INFO: {'Rotation': -116.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:43,423 INFO: {'Rotation': -114.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
